Country,Province,County,Continent,Population,StatsName
Dominican Republic,Main territory,,North America,10847904,Dominican Republic
Spain,Ceuta,,Europe,84829,"Ceuta, Spain"
Spain,Castilla y Leon,,Europe,2407733,"Castilla y Leon, Spain"
Barbados,Main territory,,North America,287371,Barbados
Denmark,,,Europe,5792203,Denmark
Spain,Catalonia,,Europe,7566431,"Catalonia, Spain"
Spain,Canarias,,Europe,2206901,"Canarias, Spain"
Spain,C. Valenciana,,Europe,4974969,"C. Valenciana, Spain"
Peru,Callao,,South America,1129900,"Callao, Peru"
Spain,Andalusia,,Europe,8427405,"Andalusia, Spain"
Netherlands,Noord-Holland,,Europe,2879527,"Noord-Holland, Netherlands"
Mali,,,Africa,20250834,Mali
Netherlands,Overijssel,,Europe,1162406,"Overijssel, Netherlands"
Mali,Main territory,,Africa,20250834,Mali
Paraguay,Main territory,,South America,7132530,Paraguay
Latvia,,,Europe,1886202,Latvia
South Sudan,,,Africa,11193729,South Sudan
Laos,,,Asia,7275556,Laos
Netherlands,Drenthe,,Europe,493682,"Drenthe, Netherlands"
Saint Vincent and the Grenadines,Main territory,,North America,110947,Saint Vincent and the Grenadines
Netherlands,Aruba,,North America,106766,"Aruba, Netherlands"
Liberia,,,Africa,5057677,Liberia
Liberia,Main territory,,Africa,5057677,Liberia
Sri Lanka,Main territory,,Asia,21413250,Sri Lanka
Uruguay,,,South America,3473727,Uruguay
Myanmar,,,Asia,54409794,Burma
Ireland,Main territory,,Europe,4937796,Ireland
Finland,,,Europe,5540718,Finland
Myanmar,Main territory,,Asia,54409794,Burma
Nepal,,,Asia,29136808,Nepal
Switzerland,,,Europe,8654618,Switzerland
Switzerland,Main territory,,Europe,8654618,Switzerland
Uganda,Main territory,,Africa,45741000,Uganda
Spain,,,Europe,46754783,Spain
Andorra,,,Europe,77265,Andorra
Andorra,Main territory,,Europe,77265,Andorra
Bosnia and Herzegovina,,,Europe,3280815,Bosnia and Herzegovina
Spain,Other,,Europe,0,"Unknown, Spain"
Bosnia and Herzegovina,Main territory,,Europe,3280815,Bosnia and Herzegovina
Malawi,,,Africa,19129955,Malawi
Botswana,,,Africa,2351625,Botswana
Costa Rica,Main territory,,North America,5094114,Costa Rica
Morocco,Main territory,,Africa,36910558,Morocco
Mauritius,,,Africa,1271767,Mauritius
Mozambique,Main territory,,Africa,31255435,Mozambique
Cameroon,,,Africa,26545864,Cameroon
Mauritius,Main territory,,Africa,1271767,Mauritius
Cuba,,,North America,11326616,Cuba
Italy,Sicilia,,Europe,4999891,"Sicilia, Italy"
Italy,,,Europe,60461828,Italy
Italy,P.A. Trento,,Europe,541418,"P.A. Trento, Italy"
Spain,Baleares,,Europe,1188220,"Baleares, Spain"
Italy,Veneto,,Europe,4905854,"Veneto, Italy"
Italy,P.A. Bolzano,,Europe,532318,"P.A. Bolzano, Italy"
Spain,Main territory,,Europe,46754783,Spain
Italy,Lazio,,Europe,5879082,"Lazio, Italy"
Kosovo,Main territory,,Europe,1810366,Kosovo
Liechtenstein,,,Europe,38137,Liechtenstein
Italy,Calabria,,Europe,1947131,"Calabria, Italy"
Lebanon,,,Asia,6825442,Lebanon
Latvia,Main territory,,Europe,1886202,Latvia
Liechtenstein,Main territory,,Europe,38137,Liechtenstein
Lebanon,Main territory,,Asia,6825442,Lebanon
Italy,Abruzzo,,Europe,1311580,"Abruzzo, Italy"
Netherlands,Curacao,,North America,164100,"Curacao, Netherlands"
Bhutan,Main territory,,Asia,771612,Bhutan
Netherlands,Main territory,,Europe,17134873,Netherlands
Peru,Lambayeque,,South America,1310800,"Lambayeque, Peru"
Sudan,,,Africa,43849269,Sudan
Russia,Москва,,Europe,12506468,"Moscow, Russia"
Russia,Липецкая обл.,,Europe,1150201,"Lipetsk Oblast, Russia"
Russia,Калининградская обл.,,Europe,994599,"Kaliningrad Oblast, Russia"
Russia,Санкт-Петербург,,Europe,5351935,"Saint Petersburg, Russia"
Iceland,,,Europe,341250,Iceland
Russia,Ярославская обл.,,Europe,1265684,"Yaroslavl Oblast, Russia"
Egypt,,,Africa,102334403,Egypt
Russia,Ямало-Ненецкий АО,,Europe,538547,"Yamalo-Nenets Autonomous Okrug, Russia"
Austria,,,Europe,9006400,Austria
Russia,Чечня,,Europe,1436981,"Chechen Republic, Russia"
Malawi,Main territory,,Africa,19129955,Malawi
Russia,Чувашия,,Europe,1231117,"Chuvashia Republic, Russia"
Russia,Челябинская обл.,,Europe,3493036,"Chelyabinsk Oblast, Russia"
Malta,Main territory,,Europe,441539,Malta
Cameroon,Main territory,,Africa,26545864,Cameroon
Spain,Extremadura,,Europe,1065424,"Extremadura, Spain"
Costa Rica,,,North America,5094114,Costa Rica
Spain,Cantabria,,Europe,581641,"Cantabria, Spain"
Russia,Тыва,,Europe,321722,"Tyva Republic, Russia"
Barbados,,,North America,287371,Barbados
Russia,Татарстан,,Europe,3894284,"Tatarstan Republic, Russia"
Denmark,Main territory,,Europe,5792203,Denmark
Peru,Huancavelica,,South America,365300,"Huancavelica, Peru"
Spain,Asturias,,Europe,1022205,"Asturias, Spain"
Russia,Свердловская обл.,,Europe,4325256,"Sverdlovsk Oblast, Russia"
Peru,Arequipa,,South America,1497400,"Arequipa, Peru"
Spain,Aragon,,Europe,1320586,"Aragon, Spain"
Russia,Саха (Якутия),,Europe,964330,"Sakha (Yakutiya) Republic, Russia"
Russia,Самарская обл.,,Europe,3193514,"Samara Oblast, Russia"
Russia,Рязанская обл.,,Europe,1121474,"Ryazan Oblast, Russia"
Paraguay,,,South America,7132530,Paraguay
Bhutan,,,Asia,771612,Bhutan
Russia,Псковская обл.,,Europe,636546,"Pskov Oblast, Russia"
Laos,Main territory,,Asia,7275556,Laos
Ecuador,,,South America,17643060,Ecuador
Qatar,,,Asia,2881060,Qatar
Italy,Main territory,,Europe,60461828,Italy
Ecuador,Main territory,,South America,17643060,Ecuador
Qatar,Main territory,,Asia,2881060,Qatar
Russia,Мурманская обл.,,Europe,753557,"Murmansk Oblast, Russia"
Russia,Ленинградская обл.,,Europe,1813816,"Leningrad Oblast, Russia"
Russia,,,Europe,145934460,Russia
Russia,Мордовия,,Europe,805056,"Mordovia Republic, Russia"
Russia,Курская обл.,,Europe,1115237,"Kursk Oblast, Russia"
Russia,Main territory,,Europe,145934460,Russia
Spain,Pais Vasco,,Europe,2177880,"Pais Vasco, Spain"
Iceland,Main territory,,Europe,341250,Iceland
Greece,Main territory,,Europe,10423056,Greece
Russia,Карелия,,Europe,622484,"Karelia Republic, Russia"
Russia,Карачаево-Черкессия,,Europe,466305,"Karachay-Cherkess Republic, Russia"
Fiji,,,Oceania,896444,Fiji
Russia,ХМАО – Югра,,Europe,1532243,"Khanty-Mansi Autonomous Okrug, Russia"
Russia,Калмыкия,,Europe,275413,"Kalmykia Republic, Russia"
Malta,,,Europe,441539,Malta
Russia,Хакасия,,Europe,537513,"Khakassia Republic, Russia"
Russia,Кабардино-Балкария,,Europe,865828,"Kabardino-Balkarian Republic, Russia"
Russia,Ингушетия,,Europe,488043,"Ingushetia Republic, Russia"
Italy,Toscana,,Europe,3729641,"Toscana, Italy"
Russia,Вологодская обл.,,Europe,1176689,"Vologda Oblast, Russia"
Russia,Ивановская обл.,,Europe,1014646,"Ivanovo Oblast, Russia"
Spain,Castilla - La Mancha,,Europe,2034877,"Castilla - La Mancha, Spain"
Russia,Ставропольский край,,Europe,2800674,"Stavropol Krai, Russia"
Russia,Бурятия,,Europe,984511,"Buryatia Republic, Russia"
Russia,Башкортостан,,Europe,4063293,"Bashkortostan Republic, Russia"
Russia,Смоленская обл.,,Europe,949348,"Smolensk Oblast, Russia"
Russia,Брянская обл.,,Europe,1210982,"Bryansk Oblast, Russia"
Russia,Сахалинская обл.,,Europe,490181,"Sakhalin Oblast, Russia"
Russia,Архангельская обл.,,Europe,1155028,"Arkhangelsk Oblast, Russia"
Russia,Алтайский край,,Europe,2350080,"Altai Krai, Russia"
Italy,Molise,,Europe,305617,"Molise, Italy"
Libya,,,Africa,6871287,Libya
Italy,Friuli Venezia Giulia,,Europe,1215220,"Friuli Venezia Giulia, Italy"
Russia,Саратовская обл.,,Europe,2462950,"Saratov Oblast, Russia"
Libya,Main territory,,Africa,6871287,Libya
Italy,Emilia-Romagna,,Europe,4459477,"Emilia-Romagna, Italy"
Mauritania,,,Africa,4649660,Mauritania
Jamaica,,,North America,2961161,Jamaica
Italy,Campania,,Europe,5801692,"Campania, Italy"
Mauritania,Main territory,,Africa,4649660,Mauritania
Russia,Московская обл.,,Europe,7503385,"Moscow Oblast, Russia"
Honduras,,,North America,9904608,Honduras
Kuwait,,,Asia,4270563,Kuwait
Finland,Main territory,,Europe,5540718,Finland
San Marino,Main territory,,Europe,33938,San Marino
Singapore,,,Asia,5850343,Singapore
Nepal,Main territory,,Asia,29136808,Nepal
Canada,,,North America,37855702,Canada
Singapore,Main territory,,Asia,5850343,Singapore
Canada,Quebec,,North America,8537674,"Quebec, Canada"
Canada,Yukon,,North America,41078,"Yukon, Canada"
Canada,Ontario,,North America,14711827,"Ontario, Canada"
Canada,Prince Edward Island,,North America,158158,"Prince Edward Island, Canada"
Canada,Nova Scotia,,North America,977457,"Nova Scotia, Canada"
Canada,Nunavut,,North America,38780,"Nunavut, Canada"
Russia,Иркутская обл.,,Europe,2404195,"Irkutsk Oblast, Russia"
Russia,Хабаровский край,,Europe,1328302,"Khabarovsk Krai, Russia"
Canada,Alberta,,North America,4413146,"Alberta, Canada"
Canada,Ontario,Toronto,North America,14711827,"Ontario, Canada"
Russia,Ульяновская обл.,,Europe,1246618,"Ulyanovsk Oblast, Russia"
Canada,Ontario,London,North America,14711827,"Ontario, Canada"
Russia,Владимирская обл.,,Europe,1378337,"Vladimir Oblast, Russia"
Canada,Alberta,Calgary,North America,4413146,"Alberta, Canada"
Trinidad and Tobago,,,North America,1399491,Trinidad and Tobago
Chile,,,South America,19116209,Chile
Canada,Recovered,,North America,0,"Recovered, Canada"
Trinidad and Tobago,Main territory,,North America,1399491,Trinidad and Tobago
Chile,Valparaiso,,South America,1815902,"Valparaiso, Chile"
Afghanistan,,,Asia,38928341,Afghanistan
Angola,,,Africa,32866268,Angola
Russia,Алтай,,Europe,218063,"Altai Republic, Russia"
Afghanistan,Main territory,,Asia,38928341,Afghanistan
Angola,Main territory,,Africa,32866268,Angola
Chile,OHiggins,,South America,914555,"OHiggins, Chile"
Chile,Metropolitana,,South America,7112808,"Metropolitana, Chile"
Chile,Los Lagos,,South America,828708,"Los Lagos, Chile"
Russia,Приморский край,,Europe,1913037,"Primorsky Krai, Russia"
Russia,Пензенская обл.,,Europe,1331655,"Penza Oblast, Russia"
Chile,Coquimbo,,South America,757586,"Coquimbo, Chile"
Russia,Новосибирская обл.,,Europe,2788849,"Novosibirsk Oblast, Russia"
Russia,Орловская обл.,,Europe,747247,"Orel Oblast, Russia"
Chile,Biobio,,South America,1556805,"Biobio, Chile"
Chad,,,Africa,16425859,Chad
North Macedonia,,,Europe,2083380,North Macedonia
Russia,Нижегородская обл.,,Europe,3234752,"Nizhny Novgorod Oblast, Russia"
Honduras,Main territory,,North America,9904608,Honduras
North Macedonia,Main territory,,Europe,2083380,North Macedonia
Chile,Araucania,,South America,957224,"Araucania, Chile"
Chile,Main territory,,South America,19116209,Chile
Kiribati,Main territory,,Oceania,117606,Kiribati
Russia,Курганская обл.,,Europe,845537,"Kurgan Oblast, Russia"
Russia,Костромская обл.,,Europe,643324,"Kostroma Oblast, Russia"
Kiribati,,,Oceania,117606,Kiribati
Russia,Калужская обл.,,Europe,1012056,"Kaluga Oblast, Russia"
Russia,Коми,,Europe,840873,"Komi Republic, Russia"
Tunisia,Main territory,,Africa,11818618,Tunisia
Micronesia,Main territory,,Oceania,113815,Micronesia
Russia,Кировская обл.,,Europe,1283238,"Kirov Oblast, Russia"
Micronesia,,,Oceania,113815,Micronesia
Italy,Valle d'Aosta,,Europe,125666,"Valle d'Aosta, Italy"
Russia,Забайкальский край,,Europe,1072806,"Zabaykalsky Krai, Russia"
Russia,Кемеровская обл.,,Europe,2694877,"Kemerovo Oblast, Russia"
Canada,Quebec,Montreal,North America,8537674,"Quebec, Canada"
Russia,Волгоградская обл.,,Europe,2521276,"Volgograd Oblast, Russia"
Russia,Тульская обл.,,Europe,1491855,"Tula Oblast, Russia"
Russia,Северная Осетия,,Europe,701765,"North Ossetia - Alania Republic, Russia"
Russia,Тамбовская обл.,,Europe,1033552,"Tambov Oblast, Russia"
Italy,Sardegna,,Europe,1639591,"Sardegna, Italy"
Russia,Астраханская обл.,,Europe,1017514,"Astrakhan Oblast, Russia"
Italy,Lombardia,,Europe,10060574,"Lombardia, Italy"
Chile,Other,,South America,0,"Unknown, Chile"
Russia,Амурская обл.,,Europe,798424,"Amur Oblast, Russia"
Russia,Адыгея,,Europe,453376,"Adygea Republic, Russia"
Italy,Marche,,Europe,1525271,"Marche, Italy"
Italy,Basilicata,,Europe,562869,"Basilicata, Italy"
Russia,Ростовская обл.,,Europe,4220452,"Rostov Oblast, Russia"
Chile,Nuble,,South America,480609,"Nuble, Chile"
Dominica,Main territory,,North America,71991,Dominica
Eritrea,Main territory,,Africa,3546427,Eritrea
West Bank and Gaza,Main territory,,Asia,5101416,West Bank and Gaza
Eritrea,,,Africa,3546427,Eritrea
Jamaica,Main territory,,North America,2961161,Jamaica
Russia,Новгородская обл.,,Europe,606476,"Novgorod Oblast, Russia"
Chile,Atacama,,South America,288944,"Atacama, Chile"
Chile,Aysen,,South America,103158,"Aysen, Chile"
Pakistan,Azad Jammu and Kashmir,,Asia,4045366,"Azad Jammu and Kashmir, Pakistan"
Chad,Main territory,,Africa,16425859,Chad
Kuwait,Main territory,,Asia,4270563,Kuwait
Somalia,,,Africa,15893219,Somalia
Timor-Leste,,,Asia,1318442,Timor-Leste
Belize,,,North America,397621,Belize
Somalia,Main territory,,Africa,15893219,Somalia
Egypt,Main territory,,Africa,102334403,Egypt
Norway,,,Europe,5421242,Norway
Russia,Крым,,Europe,1913731,"Crimea Republic*, Ukraine"
Nicaragua,,,North America,6624554,Nicaragua
Botswana,Main territory,,Africa,2351625,Botswana
Russia,Красноярский край,,Europe,2876497,"Krasnoyarsk Krai, Russia"
Russia,Камчатский край,,Europe,315557,"Kamchatka Krai, Russia"
Dominican Republic,,,North America,10847904,Dominican Republic
Russia,Краснодарский край,,Europe,5603420,"Krasnodar Krai, Russia"
Russia,Удмуртия,,Europe,1513044,"Udmurt Republic, Russia"
Cote d'Ivoire,,,Africa,26378275,Cote d'Ivoire
Russia,Томская обл.,,Europe,1078280,"Tomsk Oblast, Russia"
Congo (Brazzaville),,,Africa,5518092,Congo (Brazzaville)
Cote d'Ivoire,Main territory,,Africa,26378275,Cote d'Ivoire
Italy,Umbria,,Europe,882015,"Umbria, Italy"
Russia,Еврейская АО,,Europe,162014,"Jewish Autonomous Okrug, Russia"
New Zealand,,,Oceania,4822233,New Zealand
Canada,Alberta,Edmonton,North America,4413146,"Alberta, Canada"
Cabo Verde,Main territory,,Africa,555988,Cabo Verde
Russia,Дагестан,,Europe,3063885,"Dagestan Republic, Russia"
Russia,Севастополь,,Europe,443211,"Sevastopol*, Ukraine"
Ghana,Main territory,,Africa,31072945,Ghana
Italy,Puglia,,Europe,4029053,"Puglia, Italy"
Japan,Tokushima,,Asia,727977,"Tokushima, Japan"
Malaysia,Main territory,,Asia,32365998,Malaysia
Italy,Piemonte,,Europe,4356406,"Piemonte, Italy"
Italy,Liguria,,Europe,1550640,"Liguria, Italy"
Chile,Tarapaca,,South America,330558,"Tarapaca, Chile"
Slovenia,Main territory,,Europe,2078932,Slovenia
Japan,Saga,,Asia,814711,"Saga, Japan"
Japan,Osaka,,Asia,8809363,"Osaka, Japan"
Chile,Maule,,South America,1044950,"Maule, Chile"
Japan,Port Quarantine,,Asia,0,"Port Quarantine, Japan"
Japan,Okinawa,,Asia,1453168,"Okinawa, Japan"
Namibia,,,Africa,2540916,Namibia
Japan,Okayama,,Asia,1889586,"Okayama, Japan"
Japan,Nagasaki,,Asia,1326524,"Nagasaki, Japan"
Namibia,Main territory,,Africa,2540916,Namibia
Chile,Arica y Parinacota,,South America,226068,"Arica y Parinacota, Chile"
Russia,Белгородская обл.,,Europe,1549876,"Belgorod Oblast, Russia"
Pakistan,Main territory,,Asia,220892331,Pakistan
West Bank and Gaza,,,Asia,5101416,West Bank and Gaza
Japan,Kumamoto,,Asia,1747567,"Kumamoto, Japan"
Chile,Antofagasta,,South America,607534,"Antofagasta, Chile"
Japan,Kanagawa,,Asia,9198268,"Kanagawa, Japan"
Belize,Main territory,,North America,397621,Belize
Armenia,,,Europe,2963234,Armenia
Norway,Main territory,,Europe,5421242,Norway
Nicaragua,Main territory,,North America,6624554,Nicaragua
Jordan,,,Asia,10203140,Jordan
Canada,Northwest Territories,,North America,44904,"Northwest Territories, Canada"
Cyprus,,,Europe,1207361,Cyprus
Bulgaria,,,Europe,6948445,Bulgaria
Japan,Ehime,,Asia,1339215,"Ehime, Japan"
Russia,Тюменская обл.,,Europe,3692400,"Tyumen Oblast, Russia"
Bulgaria,Main territory,,Europe,6948445,Bulgaria
Japan,Chiba,,Asia,6259382,"Chiba, Japan"
Japan,Aomori,,Asia,1246371,"Aomori, Japan"
Japan,Aichi,,Asia,7552239,"Aichi, Japan"
Comoros,Main territory,,Africa,869595,Comoros
New Zealand,Cook Islands,,Oceania,17459,"Cook Islands, New Zealand"
Japan,Akita,,Asia,966490,"Akita, Japan"
Benin,,,Africa,12123198,Benin
New Zealand,Main territory,,Oceania,4822233,New Zealand
Gambia,Main territory,,Africa,2416664,Gambia
Lesotho,Main territory,,Africa,2142252,Lesotho
Cambodia,,,Asia,16718971,Cambodia
Bahamas,,,North America,393248,Bahamas
Uzbekistan,,,Asia,33469199,Uzbekistan
Cambodia,Main territory,,Asia,16718971,Cambodia
Bahamas,Main territory,,North America,393248,Bahamas
Russia,Оренбургская обл.,,Europe,1977720,"Orenburg Oblast, Russia"
Uzbekistan,Main territory,,Asia,33469199,Uzbekistan
Lesotho,,,Africa,2142252,Lesotho
Pakistan,,,Asia,220892331,Pakistan
Russia,Омская обл.,,Europe,1960081,"Omsk Oblast, Russia"
Pakistan,Gilgit-Baltistan,,Asia,1013584,"Gilgit-Baltistan, Pakistan"
Panama,Main territory,,North America,4314768,Panama
Japan,Nagano,,Asia,2048790,"Nagano, Japan"
Ukraine,Zakarpattia Oblast,,Europe,1256802,"Zakarpattia Oblast, Ukraine"
Japan,Mie,,Asia,1780882,"Mie, Japan"
Georgia,,,Europe,3989175,Georgia
Timor-Leste,Main territory,,Asia,1318442,Timor-Leste
Ukraine,Volyn Oblast,,Europe,1035330,"Volyn Oblast, Ukraine"
Japan,Kochi,,Asia,698029,"Kochi, Japan"
Georgia,Main territory,,Europe,3989175,Georgia
Ukraine,Luhansk Oblast,,Europe,2151833,"Luhansk Oblast, Ukraine"
Ukraine,Kiev Oblast,,Europe,1767940,"Kiev Oblast, Ukraine"
Canada,Newfoundland and Labrador,,North America,521365,"Newfoundland and Labrador, Canada"
Armenia,Main territory,,Europe,2963234,Armenia
Tunisia,,,Africa,11818618,Tunisia
Japan,Fukuoka,,Asia,5103679,"Fukuoka, Japan"
Jordan,Main territory,,Asia,10203140,Jordan
Japan,,,Asia,126476458,Japan
Cyprus,Main territory,,Europe,1207361,Cyprus
Russia,Тверская обл.,,Europe,1283873,"Tver Oblast, Russia"
Congo (Brazzaville),Main territory,,Africa,5518092,Congo (Brazzaville)
Japan,Main territory,,Asia,126476458,Japan
Brazil,Rio Grande do Sul,,South America,11377239,"Rio Grande do Sul, Brazil"
Benin,Main territory,,Africa,12123198,Benin
Japan,Tottori,,Asia,555558,"Tottori, Japan"
Bahrain,,,Asia,1701583,Bahrain
United Arab Emirates,,,Asia,9890400,United Arab Emirates
Russia,Воронежская обл.,,Europe,2333768,"Voronezh Oblast, Russia"
Malaysia,,,Asia,32365998,Malaysia
Japan,Tochigi,,Asia,1933990,"Tochigi, Japan"
Kazakhstan,,,Europe,18776707,Kazakhstan
Brazil,Piaui,,South America,3273227,"Piaui, Brazil"
Russia,Чукотский АО,,Europe,49348,"Chukotka Autonomous Okrug, Russia"
Taiwan,Main territory,,Asia,23816775,Taiwan*
Taiwan,,,Asia,23816775,Taiwan*
Russia,Пермский край,,Europe,2623122,"Perm Krai, Russia"
Zambia,,,Africa,18383956,Zambia
Chile,Magallanes,,South America,166533,"Magallanes, Chile"
Pakistan,Sindh,,Asia,47886051,"Sindh, Pakistan"
Panama,,,North America,4314768,Panama
Japan,Oita,,Asia,1135434,"Oita, Japan"
Ukraine,Zhytomyr Oblast,,Europe,1220193,"Zhytomyr Oblast, Ukraine"
Pakistan,Punjab,,Asia,110012442,"Punjab, Pakistan"
Pakistan,Balochistan,,Asia,12344408,"Balochistan, Pakistan"
Russia,Марий Эл,,Europe,682333,"Mari El Republic, Russia"
Japan,Miyazaki,,Asia,1073301,"Miyazaki, Japan"
Japan,Ishikawa,,Asia,1137649,"Ishikawa, Japan"
Japan,Kyoto,,Asia,2582957,"Kyoto, Japan"
Japan,Hiroshima,,Asia,2804177,"Hiroshima, Japan"
Ukraine,Vinnytsia Oblast,,Europe,1560394,"Vinnytsia Oblast, Ukraine"
Australia,Victoria,,Oceania,6629900,"Victoria, Australia"
Japan,Kagoshima,,Asia,1602273,"Kagoshima, Japan"
